event_id,duration_us,is_draw,action_name,marker_stack,top_marker,asset_marker,material,leaf_marker,num_indices,index_bucket,num_instances,pipeline,blend_state,depth_state,color_write_mask,render_targets,depth_target,texture_key,bound_resources,min_duration_us,max_duration_us
24,0.588800,0,vkCmdClearColorImage(),Native Render,Native Render,(none),(none),Native Render,0,0,0,,,,,,,(none),,0.000000,3.072000
25,2.252800,0,vkCmdClearDepthStencilImage(),Native Render,Native Render,(none),(none),Native Render,0,0,0,,,,,,,(none),,0.000000,3.072000
40,48.230400,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 59 l: 0) > Material 59 > SECT1.g3d_5_0_11,Native Render,Native SECT1.g2d (m: 59 l: 0),59,SECT1.g3d_5_0_11,435,257-1024,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (256, 128) pallete: 0 (ResourceId::12736) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (256, 128) pallete: 0 (ResourceId::12736) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",43.008000,52.224000
53,97.792000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 57 l: 0) > Material 57 > SECT1.g3d_5_0_3,Native Render,Native SECT1.g2d (m: 57 l: 0),57,SECT1.g3d_5_0_3,369,257-1024,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",41.984000,117.760000
61,36.249600,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 57 l: 0) > Material 57 > SECT1.g3d_5_0_2,Native Render,Native SECT1.g2d (m: 57 l: 0),57,SECT1.g3d_5_0_2,1134,1025-4096,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",28.672000,61.440000
69,55.910400,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 57 l: 0) > Material 57 > SECT1.g3d_5_0_1,Native Render,Native SECT1.g2d (m: 57 l: 0),57,SECT1.g3d_5_0_1,2883,1025-4096,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",41.984000,72.704000
77,21.708800,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 57 l: 0) > Material 57 > SECT1.g3d_5_0_0,Native Render,Native SECT1.g2d (m: 57 l: 0),57,SECT1.g3d_5_0_0,1680,1025-4096,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12704) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",10.240000,36.864000
90,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 53 l: 0) > Material 53 > SECT1.g3d_5_0_43,Native Render,Native SECT1.g2d (m: 53 l: 0),53,SECT1.g3d_5_0_43,30,13-48,1,,,,,,,(none),,0.000000,0.000000
98,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 53 l: 0) > Material 53 > SECT1.g3d_4_0_36,Native Render,Native SECT1.g2d (m: 53 l: 0),53,SECT1.g3d_4_0_36,75,49-256,1,,,,,,,(none),,0.000000,0.000000
111,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 52 l: 0) > Material 52 > SECT1.g3d_4_0_9,Native Render,Native SECT1.g2d (m: 52 l: 0),52,SECT1.g3d_4_0_9,153,49-256,1,,,,,,,(none),,0.000000,0.000000
124,0.102400,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 51 l: 0) > Material 51 > SECT1.g3d_5_0_44,Native Render,Native SECT1.g2d (m: 51 l: 0),51,SECT1.g3d_5_0_44,1110,1025-4096,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12608) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12608) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,1.024000
132,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 51 l: 0) > Material 51 > SECT1.g3d_5_0_41,Native Render,Native SECT1.g2d (m: 51 l: 0),51,SECT1.g3d_5_0_41,1146,1025-4096,1,,,,,,,(none),,0.000000,0.000000
140,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 51 l: 0) > Material 51 > SECT1.g3d_4_0_1,Native Render,Native SECT1.g2d (m: 51 l: 0),51,SECT1.g3d_4_0_1,816,257-1024,1,,,,,,,(none),,0.000000,0.000000
153,1.126400,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 49 l: 0) > Material 49 > SECT1.g3d_4_0_58,Native Render,Native SECT1.g2d (m: 49 l: 0),49,SECT1.g3d_4_0_58,195,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12576) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12576) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,6.144000
161,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 49 l: 0) > Material 49 > SECT1.g3d_2_0_83,Native Render,Native SECT1.g2d (m: 49 l: 0),49,SECT1.g3d_2_0_83,195,49-256,1,,,,,,,(none),,0.000000,0.000000
174,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 48 l: 0) > Material 48 > SECT1.g3d_5_0_13,Native Render,Native SECT1.g2d (m: 48 l: 0),48,SECT1.g3d_5_0_13,84,49-256,1,,,,,,,(none),,0.000000,0.000000
182,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 48 l: 0) > Material 48 > SECT1.g3d_5_0_12,Native Render,Native SECT1.g2d (m: 48 l: 0),48,SECT1.g3d_5_0_12,300,257-1024,1,,,,,,,(none),,0.000000,0.000000
190,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 48 l: 0) > Material 48 > SECT1.g3d_2_0_78,Native Render,Native SECT1.g2d (m: 48 l: 0),48,SECT1.g3d_2_0_78,78,49-256,1,,,,,,,(none),,0.000000,0.000000
203,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 46 l: 0) > Material 46 > SECT1.g3d_4_0_16,Native Render,Native SECT1.g2d (m: 46 l: 0),46,SECT1.g3d_4_0_16,387,257-1024,1,,,,,,,(none),,0.000000,0.000000
211,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 46 l: 0) > Material 46 > SECT1.g3d_2_0_66,Native Render,Native SECT1.g2d (m: 46 l: 0),46,SECT1.g3d_2_0_66,477,257-1024,1,,,,,,,(none),,0.000000,0.000000
224,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 45 l: 0) > Material 45 > SECT1.g3d_2_0_65,Native Render,Native SECT1.g2d (m: 45 l: 0),45,SECT1.g3d_2_0_65,447,257-1024,1,,,,,,,(none),,0.000000,0.000000
237,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 44 l: 0) > Material 44 > SECT1.g3d_4_0_64,Native Render,Native SECT1.g2d (m: 44 l: 0),44,SECT1.g3d_4_0_64,171,49-256,1,,,,,,,(none),,0.000000,0.000000
245,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 44 l: 0) > Material 44 > SECT1.g3d_2_0_59,Native Render,Native SECT1.g2d (m: 44 l: 0),44,SECT1.g3d_2_0_59,315,257-1024,1,,,,,,,(none),,0.000000,0.000000
253,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 44 l: 0) > Material 44 > SECT1.g3d_2_0_22,Native Render,Native SECT1.g2d (m: 44 l: 0),44,SECT1.g3d_2_0_22,231,49-256,1,,,,,,,(none),,0.000000,0.000000
266,4.505600,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 43 l: 0) > Material 43 > SECT1.g3d_4_0_63,Native Render,Native SECT1.g2d (m: 43 l: 0),43,SECT1.g3d_4_0_63,483,257-1024,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (64, 64) pallete: 0 (ResourceId::12480) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (64, 64) pallete: 0 (ResourceId::12480) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,18.432000
274,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 43 l: 0) > Material 43 > SECT1.g3d_2_0_60,Native Render,Native SECT1.g2d (m: 43 l: 0),43,SECT1.g3d_2_0_60,774,257-1024,1,,,,,,,(none),,0.000000,0.000000
282,0.204800,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 43 l: 0) > Material 43 > SECT1.g3d_2_0_21,Native Render,Native SECT1.g2d (m: 43 l: 0),43,SECT1.g3d_2_0_21,540,257-1024,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (64, 64) pallete: 0 (ResourceId::12480) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (64, 64) pallete: 0 (ResourceId::12480) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,2.048000
295,0.102400,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 42 l: 0) > Material 42 > SECT1.g3d_4_0_12,Native Render,Native SECT1.g2d (m: 42 l: 0),42,SECT1.g3d_4_0_12,144,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12464) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12464) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,1.024000
303,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 42 l: 0) > Material 42 > SECT1.g3d_3_0_16,Native Render,Native SECT1.g2d (m: 42 l: 0),42,SECT1.g3d_3_0_16,243,49-256,1,,,,,,,(none),,0.000000,0.000000
311,2.252800,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 42 l: 0) > Material 42 > SECT1.g3d_3_0_14,Native Render,Native SECT1.g2d (m: 42 l: 0),42,SECT1.g3d_3_0_14,153,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12464) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12464) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,8.192000
319,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 42 l: 0) > Material 42 > SECT1.g3d_2_0_68,Native Render,Native SECT1.g2d (m: 42 l: 0),42,SECT1.g3d_2_0_68,237,49-256,1,,,,,,,(none),,0.000000,0.000000
327,1.843200,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 42 l: 0) > Material 42 > SECT1.g3d_2_0_16,Native Render,Native SECT1.g2d (m: 42 l: 0),42,SECT1.g3d_2_0_16,216,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12464) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12464) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,8.192000
340,13.619200,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 41 l: 0) > Material 41 > SECT1.g3d_4_0_33,Native Render,Native SECT1.g2d (m: 41 l: 0),41,SECT1.g3d_4_0_33,888,257-1024,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::12448) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::12448) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,46.080000
348,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 41 l: 0) > Material 41 > SECT1.g3d_2_0_14,Native Render,Native SECT1.g2d (m: 41 l: 0),41,SECT1.g3d_2_0_14,240,49-256,1,,,,,,,(none),,0.000000,0.000000
361,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 40 l: 0) > Material 40 > SECT1.g3d_2_0_6,Native Render,Native SECT1.g2d (m: 40 l: 0),40,SECT1.g3d_2_0_6,129,49-256,1,,,,,,,(none),,0.000000,0.000000
374,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 39 l: 0) > Material 39 > SECT1.g3d_2_0_3,Native Render,Native SECT1.g2d (m: 39 l: 0),39,SECT1.g3d_2_0_3,279,257-1024,1,,,,,,,(none),,0.000000,0.000000
387,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 29 l: 0) > Material 29 > SECT1.g3d_4_0_26,Native Render,Native SECT1.g2d (m: 29 l: 0),29,SECT1.g3d_4_0_26,159,49-256,1,,,,,,,(none),,0.000000,0.000000
395,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 29 l: 0) > Material 29 > SECT1.g3d_4_0_25,Native Render,Native SECT1.g2d (m: 29 l: 0),29,SECT1.g3d_4_0_25,159,49-256,1,,,,,,,(none),,0.000000,0.000000
403,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 29 l: 0) > Material 29 > SECT1.g3d_3_0_17,Native Render,Native SECT1.g2d (m: 29 l: 0),29,SECT1.g3d_3_0_17,75,49-256,1,,,,,,,(none),,0.000000,0.000000
411,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 29 l: 0) > Material 29 > SECT1.g3d_3_0_12,Native Render,Native SECT1.g2d (m: 29 l: 0),29,SECT1.g3d_3_0_12,534,257-1024,1,,,,,,,(none),,0.000000,0.000000
419,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 29 l: 0) > Material 29 > SECT1.g3d_2_0_69,Native Render,Native SECT1.g2d (m: 29 l: 0),29,SECT1.g3d_2_0_69,150,49-256,1,,,,,,,(none),,0.000000,0.000000
427,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 29 l: 0) > Material 29 > SECT1.g3d_2_0_62,Native Render,Native SECT1.g2d (m: 29 l: 0),29,SECT1.g3d_2_0_62,306,257-1024,1,,,,,,,(none),,0.000000,0.000000
435,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native SECT1.g2d (m: 29 l: 0) > Material 29 > SECT1.g3d_2_0_43,Native Render,Native SECT1.g2d (m: 29 l: 0),29,SECT1.g3d_2_0_43,294,257-1024,1,,,,,,,(none),,0.000000,0.000000
